,report_date,health_district,age_group,number_of_cases,number_of_hospitalizations,number_of_deaths
249,2020-08-13T00:00:00.000,Prince William,Missing,183,3,0
250,2020-08-13T00:00:00.000,Rappahannock,0-9,170,2,0
251,2020-08-13T00:00:00.000,Rappahannock,10-19,400,3,0
252,2020-08-13T00:00:00.000,Rappahannock,20-29,723,17,0
253,2020-08-13T00:00:00.000,Rappahannock,30-39,693,26,0
254,2020-08-13T00:00:00.000,Rappahannock,40-49,648,48,2
255,2020-08-13T00:00:00.000,Rappahannock,50-59,583,63,5
256,2020-08-13T00:00:00.000,Rappahannock,60-69,291,56,8
257,2020-08-13T00:00:00.000,Rappahannock,70-79,145,44,18
258,2020-08-13T00:00:00.000,Rappahannock,80+,136,48,25
259,2020-08-13T00:00:00.000,Rappahannock,Missing,27,0,0
260,2020-08-13T00:00:00.000,Rappahannock Rapidan,0-9,98,1,0
261,2020-08-13T00:00:00.000,Rappahannock Rapidan,10-19,183,4,0
262,2020-08-13T00:00:00.000,Rappahannock Rapidan,20-29,380,6,0
263,2020-08-13T00:00:00.000,Rappahannock Rapidan,30-39,391,19,1
264,2020-08-13T00:00:00.000,Rappahannock Rapidan,40-49,365,23,2
265,2020-08-13T00:00:00.000,Rappahannock Rapidan,50-59,305,32,2
266,2020-08-13T00:00:00.000,Rappahannock Rapidan,60-69,165,22,5
267,2020-08-13T00:00:00.000,Rappahannock Rapidan,70-79,56,14,8
268,2020-08-13T00:00:00.000,Rappahannock Rapidan,80+,39,18,9
269,2020-08-13T00:00:00.000,Rappahannock Rapidan,Missing,12,0,0
270,2020-08-13T00:00:00.000,Richmond,0-9,132,6,0
271,2020-08-13T00:00:00.000,Richmond,10-19,253,3,0
272,2020-08-13T00:00:00.000,Richmond,20-29,808,21,0
273,2020-08-13T00:00:00.000,Richmond,30-39,692,38,1
274,2020-08-13T00:00:00.000,Richmond,40-49,527,40,4
275,2020-08-13T00:00:00.000,Richmond,50-59,382,67,2
276,2020-08-13T00:00:00.000,Richmond,60-69,275,67,7
277,2020-08-13T00:00:00.000,Richmond,70-79,124,54,18
278,2020-08-13T00:00:00.000,Richmond,80+,60,25,9
279,2020-08-13T00:00:00.000,Richmond,Missing,27,0,0
280,2020-08-13T00:00:00.000,Roanoke,0-9,42,0,0
281,2020-08-13T00:00:00.000,Roanoke,10-19,112,0,0
282,2020-08-13T00:00:00.000,Roanoke,20-29,232,5,0
283,2020-08-13T00:00:00.000,Roanoke,30-39,229,3,0
284,2020-08-13T00:00:00.000,Roanoke,40-49,151,4,0
285,2020-08-13T00:00:00.000,Roanoke,50-59,118,2,0
286,2020-08-13T00:00:00.000,Roanoke,60-69,74,5,1
287,2020-08-13T00:00:00.000,Roanoke,70-79,26,4,2
288,2020-08-13T00:00:00.000,Roanoke,80+,53,4,12
289,2020-08-13T00:00:00.000,Roanoke,Missing,4,0,0
290,2020-08-13T00:00:00.000,Southside,0-9,10,0,0
291,2020-08-13T00:00:00.000,Southside,10-19,26,0,0
292,2020-08-13T00:00:00.000,Southside,20-29,112,2,0
293,2020-08-13T00:00:00.000,Southside,30-39,162,4,0
294,2020-08-13T00:00:00.000,Southside,40-49,140,6,0
295,2020-08-13T00:00:00.000,Southside,50-59,130,13,1
296,2020-08-13T00:00:00.000,Southside,60-69,101,17,6
297,2020-08-13T00:00:00.000,Southside,70-79,80,15,16
298,2020-08-13T00:00:00.000,Southside,80+,88,12,13
299,2020-08-13T00:00:00.000,Southside,Missing,0,0,0
300,2020-08-13T00:00:00.000,Thomas Jefferson,0-9,93,1,0
301,2020-08-13T00:00:00.000,Thomas Jefferson,10-19,172,2,0
302,2020-08-13T00:00:00.000,Thomas Jefferson,20-29,362,2,0
303,2020-08-13T00:00:00.000,Thomas Jefferson,30-39,370,12,0
304,2020-08-13T00:00:00.000,Thomas Jefferson,40-49,302,20,0
305,2020-08-13T00:00:00.000,Thomas Jefferson,50-59,244,18,2
306,2020-08-13T00:00:00.000,Thomas Jefferson,60-69,188,32,4
307,2020-08-13T00:00:00.000,Thomas Jefferson,70-79,144,26,10
308,2020-08-13T00:00:00.000,Thomas Jefferson,80+,170,35,28
309,2020-08-13T00:00:00.000,Thomas Jefferson,Missing,2,0,0
310,2020-08-13T00:00:00.000,Three Rivers,0-9,27,1,0
311,2020-08-13T00:00:00.000,Three Rivers,10-19,61,1,0
312,2020-08-13T00:00:00.000,Three Rivers,20-29,207,4,0
313,2020-08-13T00:00:00.000,Three Rivers,30-39,231,6,0
314,2020-08-13T00:00:00.000,Three Rivers,40-49,209,12,2
315,2020-08-13T00:00:00.000,Three Rivers,50-59,167,12,0
316,2020-08-13T00:00:00.000,Three Rivers,60-69,117,16,2
