Event Date,Case Status,Number of Cases,Number of Hospitalizations,Number of Deaths,Health Planning Region
5/6/2020,Probable,11,0,0,Northwest
6/4/2020,Probable,3,0,0,Northern
6/10/2020,Confirmed,192,9,2,Northern
4/18/2020,Confirmed,56,12,5,Northwest
4/24/2020,Probable,5,0,0,Eastern
3/16/2020,Confirmed,109,7,0,Northern
6/6/2020,Confirmed,66,6,1,Northwest
6/14/2020,Confirmed,46,6,2,Northwest
3/20/2020,Probable,1,0,0,Central
5/15/2020,Probable,20,0,0,Northern
4/27/2020,Confirmed,18,3,1,Southwest
2/26/2020,Confirmed,2,0,0,Central
4/2/2020,Probable,4,0,1,Eastern
5/1/2020,Probable,1,0,0,Southwest
5/11/2020,Confirmed,116,12,5,Northwest
5/27/2020,Probable,10,0,0,Central
6/21/2020,Confirmed,109,3,3,Northern
5/19/2020,Probable,12,0,0,Northwest
3/27/2020,Probable,1,0,0,Northwest
2/29/2020,Confirmed,1,0,0,Eastern
6/3/2020,Probable,2,0,0,Eastern
3/1/2020,Confirmed,2,0,0,Central
5/7/2020,Probable,4,0,0,Central
4/16/2020,Probable,7,0,0,Northwest
6/1/2020,Probable,1,0,0,Southwest
3/30/2020,Probable,1,0,0,Central
5/4/2020,Probable,2,0,0,Eastern
6/15/2020,Confirmed,49,1,0,Southwest
5/22/2020,Confirmed,40,6,2,Southwest
5/25/2020,Probable,6,0,0,Central
5/31/2020,Probable,2,0,0,Eastern
5/5/2020,Confirmed,107,11,6,Central
5/2/2020,Confirmed,75,7,6,Eastern
2/25/2020,Probable,3,0,0,Northern
5/8/2020,Confirmed,24,1,1,Southwest
3/1/2020,Confirmed,5,0,0,Northern
5/10/2020,Probable,1,0,0,Eastern
4/24/2020,Confirmed,26,1,3,Southwest
5/28/2020,Probable,4,0,0,Eastern
6/17/2020,Confirmed,59,3,1,Northwest
5/24/2020,Confirmed,90,11,1,Northwest
6/17/2020,Probable,3,0,0,Southwest
5/5/2020,Confirmed,535,57,26,Northern
4/10/2020,Confirmed,11,1,2,Southwest
4/13/2020,Confirmed,9,1,0,Southwest
5/3/2020,Confirmed,355,63,15,Northern
4/26/2020,Confirmed,80,5,0,Northwest
5/25/2020,Probable,4,1,0,Eastern
4/29/2020,Confirmed,70,14,6,Eastern
4/30/2020,Confirmed,104,5,6,Central
5/22/2020,Confirmed,61,7,3,Eastern
4/30/2020,Probable,35,0,2,Northern
5/25/2020,Confirmed,105,16,2,Central
3/23/2020,Probable,10,0,0,Northern
5/21/2020,Confirmed,58,8,0,Eastern
5/18/2020,Confirmed,244,8,2,Central
5/9/2020,Probable,1,0,0,Eastern
5/7/2020,Confirmed,31,0,0,Southwest
4/20/2020,Confirmed,480,65,17,Northern
6/12/2020,Probable,1,0,0,Southwest
5/14/2020,Probable,2,0,0,Northwest
5/4/2020,Probable,0,1,0,Southwest
6/18/2020,Confirmed,119,6,2,Northern
5/30/2020,Confirmed,79,6,1,Northwest
6/7/2020,Confirmed,52,3,3,Northwest
4/4/2020,Confirmed,181,33,1,Northern
5/24/2020,Probable,6,0,2,Northern
3/29/2020,Probable,2,0,0,Northwest
5/9/2020,Confirmed,104,14,2,Northwest
5/12/2020,Probable,2,0,0,Central
2/18/2020,Confirmed,1,0,0,Northern
6/8/2020,Confirmed,129,4,3,Central
6/9/2020,Confirmed,75,6,2,Eastern
5/21/2020,Probable,1,0,0,Central
6/1/2020,Confirmed,48,2,0,Southwest
3/13/2020,Probable,2,0,0,Northwest
6/9/2020,Confirmed,45,4,1,Southwest
4/7/2020,Confirmed,36,9,1,Eastern
5/24/2020,Probable,4,0,0,Central
4/4/2020,Confirmed,53,9,5,Central
6/15/2020,Probable,3,0,0,Northern
5/16/2020,Probable,2,0,0,Eastern
4/8/2020,Confirmed,118,16,2,Central
4/11/2020,Confirmed,30,8,1,Eastern
4/17/2020,Confirmed,86,5,3,Northwest
3/10/2020,Probable,1,0,0,Northwest
4/22/2020,Confirmed,20,0,1,Southwest
5/3/2020,Confirmed,16,1,2,Southwest
5/15/2020,Confirmed,160,9,3,Northwest
6/24/2020,Confirmed,40,3,1,Northwest
4/19/2020,Confirmed,15,2,1,Southwest
5/10/2020,Probable,9,0,0,Northwest
6/8/2020,Confirmed,38,4,1,Southwest
5/31/2020,Confirmed,33,2,2,Southwest
6/14/2020,Confirmed,98,12,1,Northern
6/26/2020,Confirmed,36,0,0,Southwest
5/17/2020,Confirmed,24,3,0,Southwest
4/8/2020,Confirmed,38,6,4,Eastern
4/11/2020,Confirmed,53,14,6,Central
3/25/2020,Confirmed,113,19,1,Northern
4/10/2020,Confirmed,72,9,2,Eastern
4/9/2020,Confirmed,83,15,9,Central
6/14/2020,Confirmed,53,4,3,Central
6/11/2020,Confirmed,50,4,1,Eastern
4/6/2020,Confirmed,275,40,5,Northern
5/6/2020,Probable,20,0,2,Northern
2/23/2020,Confirmed,2,0,0,Northern
6/5/2020,Confirmed,84,4,1,Northwest
6/13/2020,Confirmed,45,5,2,Northwest
5/26/2020,Confirmed,389,32,17,Northern
6/30/2020,Probable,1,0,0,Northwest
3/28/2020,Confirmed,12,2,2,Southwest
6/10/2020,Confirmed,184,7,2,Central
6/7/2020,Confirmed,40,3,2,Eastern
4/12/2020,Confirmed,61,17,9,Central
4/16/2020,Confirmed,15,2,1,Southwest
4/15/2020,Confirmed,43,9,3,Eastern
5/10/2020,Confirmed,106,9,3,Northwest
4/27/2020,Probable,10,0,0,Northwest
